CustomerId,Balance,NumOfProducts,HasCrCard,Tenure,IsActiveMember,Exited
15634602,€ 0.00,1,Yes,2,Yes,1
15634602,€ 0.00,1,Yes,2,Yes,1
15647311,"€ 83,807.86",1,Yes,1,Yes,0
15619304,"€ 159,660.80",3,No,8,No,1
15701354,€ 0.00,2,No,1,No,0
15737888,"€ 125,510.82",1,Yes,2,Yes,0
15574012,"€ 113,755.78",2,No,8,No,1
15592531,€ 0.00,2,Yes,7,Yes,0
15656148,"€ 115,046.74",4,No,4,No,1
15792365,"€ 142,051.07",2,Yes,4,Yes,0
15592389,"€ 134,603.88",1,Yes,2,Yes,0
15767821,"€ 102,016.72",2,No,6,No,0
15737173,€ 0.00,2,No,3,No,0
15632264,€ 0.00,2,No,10,No,0
15691483,€ 0.00,2,No,5,No,0
15600882,€ 0.00,2,Yes,7,Yes,0
15643966,"€ 143,129.41",2,Yes,3,Yes,0
15737452,"€ 132,602.88",1,No,1,No,1
15788218,€ 0.00,2,Yes,9,Yes,0
15661507,€ 0.00,1,No,6,No,0
15568982,€ 0.00,2,Yes,6,Yes,0
15577657,€ 0.00,2,Yes,8,Yes,0
15597945,€ 0.00,2,No,8,No,0
15699309,€ 0.00,1,No,4,No,1
15725737,€ 0.00,2,Yes,3,Yes,0
15625047,€ 0.00,1,Yes,5,Yes,0
15738191,€ 0.00,2,Yes,3,Yes,0
15736816,"€ 136,815.64",1,Yes,2,Yes,0
15700772,€ 0.00,2,No,9,No,0
15728693,"€ 141,349.43",1,Yes,3,Yes,0
15656300,"€ 59,697.17",2,Yes,0,Yes,0
15589475,€ 0.00,3,No,3,No,1
15706552,"€ 85,311.70",1,Yes,7,Yes,0
15750181,"€ 110,112.54",2,No,9,No,0
15659428,€ 0.00,2,Yes,6,Yes,0
15732963,€ 0.00,2,Yes,9,Yes,0
15794171,"€ 134,264.04",1,No,0,No,1
15788448,"€ 145,260.23",1,Yes,3,Yes,0
15729599,"€ 76,548.60",1,Yes,7,Yes,0
15717426,€ 0.00,1,Yes,7,Yes,0
15585768,"€ 70,349.48",2,Yes,6,Yes,0
15619360,€ 0.00,1,No,4,No,0
15738148,"€ 122,522.32",1,No,8,No,1
15687946,"€ 117,419.35",1,Yes,2,Yes,0
15755196,"€ 131,394.56",1,No,2,No,1
15684171,"€ 155,931.11",1,Yes,5,Yes,0
15754849,"€ 109,421.13",2,Yes,4,Yes,0
15602280,"€ 112,045.67",1,Yes,9,Yes,1
15771573,"€ 137,843.80",1,Yes,9,Yes,1
15766205,"€ 103,391.38",1,Yes,2,Yes,0
15771873,"€ 103,769.22",2,No,2,No,0
15616550,"€ 116,363.37",2,No,10,No,0
15768193,"€ 146,050.97",2,No,5,No,0
15683553,€ 0.00,2,No,5,No,0
15702298,"€ 125,561.97",1,No,8,No,1
15569590,"€ 98,495.72",1,No,1,No,1
15760861,"€ 125,211.92",1,Yes,1,Yes,0
15630053,"€ 127,864.40",1,No,5,No,0
15647091,"€ 75,888.20",1,No,0,No,0
15623944,€ 0.00,1,No,4,No,1
15804771,"€ 40,685.92",1,Yes,4,Yes,0
15651280,"€ 136,857.00",1,No,5,No,0
15773469,"€ 152,328.88",2,No,9,No,0
15702014,"€ 56,084.69",2,No,1,No,0
15751208,"€ 78,707.16",1,Yes,8,Yes,0
15592461,"€ 109,166.37",1,Yes,4,Yes,0
15789484,"€ 169,831.46",2,Yes,6,Yes,0
15696061,"€ 101,633.04",1,No,1,No,0
15641582,"€ 123,180.01",2,Yes,10,Yes,0
15638424,"€ 150,725.53",2,Yes,5,Yes,0
15755648,"€ 98,373.26",1,No,8,No,0
15703793,"€ 133,745.44",4,No,2,No,1
15620344,€ 0.00,1,No,6,No,0
15812518,"€ 163,607.18",1,Yes,0,Yes,0
15779052,"€ 157,780.84",2,Yes,5,Yes,0
15770811,€ 0.00,2,Yes,9,Yes,0
15780961,"€ 178,718.19",2,No,1,No,0
15614049,€ 0.00,2,Yes,8,Yes,0
15662085,€ 0.00,1,Yes,9,Yes,0
15575185,"€ 77,253.22",1,Yes,5,Yes,0
15803136,"€ 122,189.66",2,No,10,No,0
15706021,"€ 96,645.54",2,No,1,No,0
15663706,€ 0.00,1,No,2,No,1
15641732,€ 0.00,2,No,3,No,0
15701164,"€ 90,307.62",1,Yes,4,Yes,0
15738751,€ 0.00,2,No,4,No,0
15805254,€ 0.00,2,Yes,10,Yes,0
15762418,"€ 121,681.82",1,No,3,No,1
15625759,€ 0.00,2,No,9,No,0
15622897,€ 0.00,3,No,4,No,1
15767954,"€ 81,623.67",2,Yes,3,Yes,0
15757535,€ 0.00,3,Yes,5,Yes,1
15731511,"€ 118,626.55",2,No,7,No,0
15809248,€ 0.00,2,No,10,No,0
15640635,€ 0.00,2,Yes,8,Yes,0
15676966,€ 0.00,2,Yes,4,Yes,0
15699461,"€ 176,273.95",1,Yes,10,Yes,0
15738721,"€ 102,827.44",1,Yes,9,Yes,0
15693683,"€ 97,086.40",2,Yes,8,Yes,0
15604348,€ 0.00,2,No,8,No,0
15633059,€ 0.00,2,No,9,No,0
15808582,€ 0.00,1,Yes,6,Yes,0
15743192,€ 0.00,2,No,6,No,0
15580146,"€ 82,674.15",1,No,9,No,0
15776605,€ 0.00,2,No,7,No,0
15804919,€ 0.00,1,Yes,1,Yes,1
15613854,"€ 107,073.27",2,Yes,4,Yes,1
15599195,"€ 88,938.62",1,Yes,1,Yes,0
15812878,"€ 99,806.85",1,Yes,2,Yes,0
15602312,"€ 150,092.80",1,No,5,No,0
15744689,"€ 92,833.89",1,No,9,No,1
15803526,"€ 90,536.81",1,Yes,3,Yes,0
15665790,"€ 108,055.10",2,No,7,No,0
15715951,"€ 100,238.35",1,No,2,No,0
15591100,"€ 106,190.55",1,Yes,9,Yes,0
15609618,"€ 154,475.54",2,Yes,9,Yes,1
15675522,"€ 132,351.29",2,Yes,9,Yes,0
15705512,"€ 167,864.40",1,No,6,No,0
15698028,€ 0.00,2,No,1,No,0
15661670,"€ 107,818.63",1,No,8,No,1
15600781,"€ 185,173.81",2,No,4,No,0
15682472,"€ 129,433.34",2,No,8,No,0
15580203,"€ 120,193.42",1,No,6,No,0
15690673,€ 0.00,2,No,6,No,0
15760085,"€ 126,384.42",1,Yes,10,Yes,0
15779659,€ 0.00,1,No,3,No,0
15627360,"€ 152,603.45",1,No,9,No,1
15671137,€ 0.00,1,Yes,1,Yes,1
15782688,"€ 148,507.24",1,No,0,No,1
15575492,€ 0.00,2,No,7,No,0
15591607,"€ 101,827.07",1,No,9,No,0
15740404,€ 0.00,2,Yes,3,Yes,0
15718369,"€ 130,862.43",1,Yes,9,Yes,0
15677871,"€ 122,570.87",1,Yes,9,Yes,0
15642004,€ 0.00,2,Yes,1,Yes,0
15712543,"€ 124,828.46",2,Yes,7,Yes,0
15584518,"€ 144,895.05",2,Yes,5,Yes,0
15802381,"€ 63,663.93",1,Yes,5,Yes,0
15610156,"€ 133,463.10",1,Yes,2,Yes,0
15594408,"€ 213,146.20",1,No,2,No,1
15640905,"€ 129,490.36",2,Yes,1,Yes,1
15698932,"€ 137,452.09",1,No,10,No,0
15724944,€ 0.00,2,Yes,7,Yes,0
15628145,"€ 125,851.93",1,Yes,5,Yes,0
15713483,€ 0.00,1,No,2,No,1
15612350,"€ 40,915.55",1,No,5,No,1
15800703,"€ 113,157.22",1,Yes,5,Yes,0
15705707,"€ 138,296.94",2,No,8,No,0
15754105,"€ 106,967.18",1,No,5,No,0
15703264,"€ 120,681.63",1,No,9,No,0
15794413,€ 0.00,2,Yes,0,Yes,0
15650237,€ 0.00,2,No,7,No,0
15759618,€ 0.00,1,No,9,No,1
15811589,€ 0.00,2,No,8,No,0
15689044,"€ 127,609.59",1,No,2,No,0
15709368,€ 0.00,2,Yes,6,Yes,0
15679145,€ 0.00,1,No,7,No,1
15655007,€ 0.00,2,No,7,No,0
15623595,€ 0.00,2,Yes,2,Yes,0
15589975,"€ 97,259.25",1,Yes,6,Yes,0
15804017,"€ 123,246.70",1,No,4,No,0
15692132,"€ 101,060.25",1,Yes,6,Yes,0
15641122,€ 0.00,2,No,2,No,0
15630910,"€ 108,007.36",1,No,7,No,0
15680772,€ 0.00,2,Yes,2,Yes,0
15658929,"€ 133,702.89",1,No,0,No,1
15585388,"€ 125,189.75",2,Yes,9,Yes,0
15724623,"€ 113,034.22",1,No,7,No,1
15588537,"€ 109,013.23",1,No,9,No,0
15574692,€ 0.00,2,No,2,No,1
15611325,"€ 57,929.81",2,No,9,No,0
